task,right_answer,acce
I want to go to the home page,1,3
I want to go to the reminders page,2,0
I want to go to the notes page,3,0
I want to go to backup and restore page,4,0
I want to go to FAQ,5,0
I want to rate the app,6,0
I want to know information about this app,7,0
I want to change theme,8,0
I want to change theme from "System Default" to "Dark mode",8,0
I want to change theme,9,0
I want to change theme from "System Default" to "Dark mode",9,0
I want to change date format from "dd/mm/yy" to "yy/mm/dd",10,0
I want to change date format,10,0
I want to change date format from "dd/mm/yy" to "yy/mm/dd",11,0
I want to change date format,11,0
